목요일이었습니다.	목요일이었습니다.
시드니 공항에서 제 가족과 같이 비행기를 기다렸습니다.	시드니 공항에서 제 가족과 함께 비행기를 기다렸습니다.
그날 우리는 한국으로 출발했습니다.	그날 우리는 한국으로 출발했습니다.
제 딸이 포타 앞에 있습니다.	제 딸이 포터 앞에 있습니다.
저하고 우리 남편이 FOTO 뒤에 있습니다.	저와 우리 남편이 FOTO 두에 있습니다.
저녁 열 시에 우리 비행기가 출발했습니다.	저녁에 우리 비행기가 출발했습니다.
시드니에서 서울까지 아홉 시간 걸렸습니다.	시드니에서 서울까지 걸렸습니다.
우리는 인천에 아침 여덟 시에 도착했습니다.	우리는 인천에 아침 도착했습니다.
우리 남편의 여동생을 만났습니다.	우리 남편의 여동생을 만났습니다.
서울로 자동차로 갔습니다.	서울로.
서울에서 아침을 울 같이 아침을 먹고 커피를 마셨습니다.	서울에서 아침을 우리 같이 먹고 커피를 마셨습니다.
우리는 배가 고팠습니다.	우리는 배가 고팠습니다.
비행기 음식을 안 먹었습니다.	비행기 음식이 안 맞았습니다.
제 취미는 음악 감상입니다.	제 취미는 음악 감상입니다.
음악을 아주 좋아합니다.	음악을 아주 좋아합니다.
제가 고등학생이었을 때 피아노와 바이올린을 자주 했습니다.	제가 고등학생일 때 피아노와 바이올린을 자주 연주했습니다.
지금 시간이 없는데 피아노 음악을 듣습니다.	지금 시간이 없는데 피아노 음악을 듣습니다.
저는 노래 부르기도 좋아합니다.	저는 노래 부르는 것도 좋아합니다.
고향에 노래방이 없는데 그래서 우리 집에서 CD 같이 노래합니다.	고향에 노래방이 없어서 우리 집에서 노래합니다.
지금 저는 학교에서 노래 부르기 수업을 듣습니다.	지금 저는 학교에서 노래 부르기 수업을 듣습니다.
재미있지만 조금 어렵습니다.	재미있지만 조금 어렵습니다.
지금 저는 음악 공학을 ( music engineering ) 좋아해서 음악을 자주 듣습니다.	지금 저는 음악 제작 (music engineering)을 좋아해서 음악을 자주 듣습니다.
저는 가수나 피아니스트일 수 없는데 음악을 역시 좋아합니다.	저는 가수나 피아니스트일 수 없는데 음악을 여전히 좋아합니다.
아마 장래에 음악 연출가일 거에요.	아마 장래에 음악 연출가일 거예요.
이것은 제 꿈입니다.	이것은 제 꿈입니다.
지금 당장은 수업을 열심히 하겠습니다.	지금 당장은 수업을 열심히 듣겠습니다.
나영 씨 안녕하습니까?	안녕하십니까?
저는 1년 전부터 서울에 살았습니다.	저는 1년 전에 서울에 살았습니다.
여기 생활이 재미있습니다.	여기에서 생활하는 것이 재미있습니다.
요즘 생활을 독일에서 어떻게 합니까?	요즘 독일에서 생활을 어떻게 하고 있습니까?
영희 씨와 만났습니까?	만났습니까?
대학교에서 일이 어렵습니까?	대학교에서 일이 어렵습니까?
당신을 자주 생각합니다.	당신한테 자주 생각합니다.
유월에 만하임으로 가려고 합니다.	유월에서 만하임으로 가려고 합니다.
아마 거기에서 만날까요?	아마 고기를 만날까요?
서울에서 회사 일이 힘듭니다.	서울의 회사에서 일이 힘듭니다.
날마다 나쁜 사람과 약속에 말도 하지만 돈을 많이 법니다.	날마다 나쁜 사람과 약속을 하지만 돈을 많이 법니다.
우리 집을 좋아합니다.	우리 집을 좋아해요.
33평입니다.	33평이 있습니다.
그리고 2개 목욕탕이 있습니다.	그리고 목욕탕이 2개 있습니다.
옆집에 NONE 행복한 가족이 있습니다.	옆집에는 행복한 가족이 있습니다.
시간이 있으면 전화할까요?	시간이 있으면 전화할까요?
그럼 이만 쓸게요.	그럼 이만 쓸게요.
건강하세요.	건강하세요.
이 사람은 여자 친구입니다.	이 사람은 여자친구입니다.
친구도 있습니다.	친구도 있습니다.
여자 친구의 이름은 나영입니다.	여자친구의 이름은 나영입니다.
여자 친구가 오른쪽에 있습니다.	여자친구가 오른쪽에 있습니다.
미선이 왼쪽에 있습니다.	미선 왼쪽에 있습니다.
가스주유소에서 나영이 일합니다.	가게에서 나영이 일합니다.
대학을 졸업합니다.	대학을 졸업했습니다.
저분을 사랑합니다.	저분한테 사랑합니다.
나영씨는 나와 한국말을 말하고 싶습니다.	나영 씨는 나로 하여금 말을 하고 싶습니다.
우리는 결혼하고 싶습니다.	우리가 결혼하고 싶습니다.
우리는 안양시에 삽니다.	우리가 안양시에 삽니다.
제 취미는 드라마 보기입니다.	제 취미는 드라마 보는 것입니다.
인터넷에서 볼 수 있습니다.	인터넷에서 볼 수 있습니다.
매일 수업이 끝나서 드라마나 코메디 쇼를 봅니다.	매일 수업이 끝나면 드라마나 코미디 쇼를 봅니다.
드라마가 아주 재미있고 이야기가 복잡합니다.	드라마가 아주 재미있고 이야기가 복잡합니다.
남자배우들은 멋지고 여배우들은 예쁩니다.	남자 배우들은 멋지고 여자 배우들은 예쁩니다.
드라마 안에서 한국 음악을 들을 수 있고 한국 경치도 볼 수 있습니다.	드라마 안에 한국 음악을 들을 수 있고 한국 경치도 볼 수 있습니다.
저는 시간이 있을 때는 요리를 좋아합니다.	저는 시간이 있을 때는 요리를 좋아합니다.
저는 음식을 잘 먹어서 요리를 자주 합니다.	저는 음식을 잘 먹어서 요리를 자주 합니다.
